sequence,symbol,exchange_type,trading_side,position_side,target_quantity,target_price,target_costs,order_id,quantity,price,costs,trading_fees,trading_result
1643023778949635,LITUSDT,SPOT,BUY,LONG,6.9,1.45200000,10.018800000,279404852,6.90000000,1.45200000,10.01190000,trading_fees,"{""symbol"": ""LITUSDT"", ""orderId"": 279404852, ""orderListId"": -1, ""clientOrderId"": ""SchW5gPSRqYMELKGADX9Ij"", ""transactTime"": 1643020917477, ""price"": ""1.45200000"", ""origQty"": ""6.90000000"", ""executedQty"": ""6.90000000"", ""cummulativeQuoteQty"": ""10.01190000"", ""status"": ""FILLED"", ""timeInForce"": ""GTC"", ""type"": ""LIMIT"", ""side"": ""BUY"", ""fills"": [{""price"": ""1.45100000"", ""qty"": ""6.90000000"", ""commission"": ""0.00690000"", ""commissionAsset"": ""LIT"", ""tradeId"": 36914301}]}"
1643023778949635,LITUSDT,FUTURES,SELL,SHORT,6.9,1.45200000,10.018800000,1049061334,6.90000000,1.45200000,10.01880000,,
